userName,gender,city,min_experience,job_title,education,skills_name,level
Lakshitha,Male,Amman,0.8,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Training/Mentoring, Research Proficiency,
C, SQL Server, Oracle 10g, Teradata v 13, Data stage v 8.1, QA-System Testing, Oracle Server, Oracle Developer, MS SQL Server, ssrs, QA Lead, Web Server and Unix, AbInitio, Datawarehousing, etl, Fitnesse, Jenkins, Github, Devops, Control m scheduler, Agile, JIRA, DB2, HP ALM, Teradata Sql, Teradata Utilities
",Beginner Level
Lakidu,Male,Santiago,0.9,Technical Lead,"BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2010
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
Amazon Aws, Amazon Web Services, Analytical, Architect, C Programming, CODING, COGNOS, CONFIGURATION MANAGEMENT, CUSTOMER SUPPORT, Data Analytics, DATA INTEGRITY, Data Warehousing, MANAGEMENT, MATLAB, Natural Language Processing, Planning, Program Management, program manager, Project Management, Python, R programming, senior manager, senior project manager, Snowflake, SOFTWARE, Supply Chain Management, Talend, technical manager, Talend data integration, Talend MDM, Talend Data Fabrics
",Beginner Level
Lasani,Female,Abuja,1,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Research Proficiency,
SQL, PL / SQL, T-SQL, Informatica 8.6 / 9.1, eagle pace 11 / 13, eagle star, Data Analyst, data engineering, Data Warehousing, Business Intelligence, low code, no code, mendix, medm, Etl, Datastage, Informatica
",Beginner Level
Lakna,Male,Tripoli,1.1,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Communication Proficiency, Research Proficiency,
Bigdata, Datawarehousing, etl developer, Hadoop, Kafka, mysql, Nifi, Oracle Data Integrator, pentaho
",Beginner Level
Leslie,Female,Canberra,1.2,Technical Lead,B.com.  ( Commerce )  ,"Management Proficiency, Planning/Organizing, Teamwork,
Cognos, SSIS, Big Data
",Beginner Level
Linda,Female,Noumea,1.3,Technical Lead,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2008
	                    
                    	","Planning/Organizing, Creative Proficiency, Management Proficiency,
Informatica Developer, Oracle and Developer, Unix, Teradata Sql, Data Migration, MS SQL Server, Sql Server, Python Scripting
",Beginner Level
Lisa,Female,Muscat,1.4,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Creative Proficiency,
Data analysis, Data Modeling, Oracle PL SQL Developer, nosql, Java, Business Analysis, Data Quality, Oracle, Neo4j, Informatica Developer, ETL
",Beginner Level
Logan,Male,Gaza,1.5,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Technical Proficiency, Planning/Organizing,
DATABASE, SSIS, Hadoop, Spark, Hive, t-sql
",Beginner Level
Lois,Male,Honiara,1.6,Technical Lead,BCA  ( Computer Application )  ,"
bi support, bi production support, Talend, Microstrategy, informatica support, microstrategy administrator
",Beginner Level
Louis,Female,Honiara,1.7,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Creative Proficiency, Management Proficiency,
datastage, Cognos, oracle9i / 10g, sql server 2008, ssis
",Beginner Level
Louise,Male,Yamoussoukro,1.8,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Research Proficiency, Training/Mentoring,
Ingenium, Mantis, Software Testing, Qa Tester, Qa Analyst, Business Analyst, DB2, sql, c++, insurance, test lead, test analyst, test engineer, tester, manual tester, Business Systems Analyst, soap, rft, project management, life insurance, as/400, requirement gathering, Requirement Analysis, Uat, Brd, Fsd, Use Case, Gap Analysis, Business Requirement Gathering, Business Requirement Analysis, Business Requirement Document, Functional Specifications, Annuities
",Beginner Level
Lucas,Female,Quito,1.9,Technical Lead,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Planning/Organizing, Interpersonal Abilities, Management Proficiency,
.net, c#, c++, VC++, angularjs, Entity Framework, Asp.net Mvc, VC++, MFC, Win32, Multithreading, Socket Programming, mongodb, Python, MATLAB, Embedded C, Machine Learning, Autosar, Capl, Canalyzer, Uds, Canoe, Lin, Flexray, Devops, Jenkins, Git, Aws, Ansible, Puppet, Docker
",Beginner Level
Lucy,Male,Charlotte Amalie,1,Technical Lead,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2005
	                    
                    	","Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, c++, Data Structures, MIB, SNMP, Linux, socket programming
",Beginner Level
Buddhima,Male,Yaounde,1,Technical Lead,"BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2018
	                    
                    	","Interpersonal Abilities, Planning/Organizing, Technical Proficiency,
c, c++, ldra, uml, ooad, sw-sw integration, sw-hw integration, vb, java, Device Driver and ( RTOS, VxWorks ), Hdl, Description Language, Xilinx, Fpga, Vhdl, Verilog, 8086 Microprocessor, Microcontroller, OOPS, Design Pattern, Multithreading, Computer Networks, Operating System Concepts, Dbms Concepts, Data Structures, Embedded Linux
",Beginner Level
Thanushi,Female,Yaounde,1.5,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
c++, Linux, Python
",Beginner Level
Dineshi,Female,Moroni,1.6,Technical Lead,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Training/Mentoring, Management Proficiency,
.net, agile methodology, AJAX, Framework, Istqb Certified Tester, Java Script, multithreading ), MVC, Project Management, Rpa, Scrum, Software development ( ASP.net, Sql, SQL Server database, UFT / QTP Automation and Team management. Good exposure of client facing and leading / managing teams. Notice period: 1 month Regards Mandakini K 9769904774, Visual Studio 2010, WCF, Istqb advanced Test Manager
",Beginner Level
Madhushii,Female,Madrid,0.5,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
c, Shell Scripting, Socket Programming, c++
",Beginner Level
Chanchala,Female,Belmopan,1,Technical Lead,"B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Training/Mentoring, Communication Proficiency,
APPLICATION DEVELOPMENT, C, c++, DATABASE, FRAMEWORKS, GUI, IP, IPC, LINUX, LYNX, MFC, OBJECT ORIENTED PROGRAMMING, ODBC, ORACLE, PL / SQL, SDI, SOCKETS, SOFTWARE ENGINEER, SOFTWARE INTEGRATION, SQL, VISUAL STUDIO, WINDOWS XP, c#.net, Vb.net, VC++, .net, VC++, VC++, c++
",Beginner Level
Malith,Male,Valletta,0,Technical Lead,"BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2007
	                    
                    	","Technical Proficiency, Management Proficiency, Training/Mentoring,
c++, DS, Oracle, Linux, Unix
",Beginner Level
Rohith,Male,Panama City,1,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
c++, Socket Programming, Shell Scripting, Multithreading, Linux, sql, gui development using qt
",Beginner Level
Sharma,Male,Yaounde,2,Technical Lead,"BE /  B.Tech  ( Engineering )  , Integrated PG Course
                  	
	                  	
	                       		2015
	                    
                    	","Technical Proficiency, Interpersonal Abilities, Training/Mentoring,
c / c++, OOPS, Stl, Data Structures, Algorithms, Linux, Multithreading, Socket Programming, Inter Process Communication, san / nas, Python, kubernetes, l2 networking
",Beginner Level
Virath,Male,Yaounde,2,Technical Lead,B.Sc. (Science)," Planning/Organizing, Management Proficiency, Communication Proficiency, C, C++, VC++ (MFC, SDK), COM/ATL, Unix, IIS Web Server, Oracle PL SQL Developer, IoT, Python",Beginner Level
Koli,Male,Brazzaville,2.1,Technical Lead,ME/M.Tech.,"echnical Proficiency, Planning/Organizing, Communication Proficiency, C, C++, Java, Linux, Windows, CATIA, CFX, SolidWorks, AutoCAD, Application Programming, Simulation, Flow-3D, Python, EnSight, Rhino, Shell Scripting, Linux Shell Scripting",Beginner Level
Bimasha,Female,Cockburn Town,1.9,Technical Lead,B.E. (Computer Science),"Project Management, Agile Methodologies, Software Development Life Cycle (SDLC), Java, C#, .NET, SQL, HTML, CSS, JavaScript, React.js, Node.js, AngularJS, RESTful APIs, ",Intermediate Level
Nethmini,Female,Phnom Penh,2.3,Technical Lead,M.Sc. (Computer Science),"Team Leadership, Problem Solving, Software Architecture, Java, Python, Spring Framework, Hibernate, Apache Kafka, Apache Spark, Elasticsearch, MySQL, Git, Jenkins, DevOps",Intermediate Level
Nethushi ,Female,Monaco,2.4,Technical Lead,B.Tech. (Information Technology),"Technical Leadership, Agile Project Management, Full Stack Development, JavaScript, TypeScript, React Native, Redux, Express.js, MongoDB, AWS, Docker, Jenkins, CI/CD",Intermediate Level
Oliver,Male,Yerevan,2.5,Technical Lead,B.E. (Electronics and Communication)," Embedded Systems, Firmware Development, Microcontroller Programming, C, C++, ARM Cortex-M, SPI, I2C, UART, PCB Design, Altium Designer, Circuit Analysis, Signal Processing, MATLAB",Intermediate Level
Oscar,Female,Hagatna,2.6,Technical Lead,MCA,"Software Development, Database Management, PHP, Laravel, Python, Django, Flask, MySQL, PostgreSQL, MongoDB, AWS, Azure, Google Cloud Platform (GCP), Microservices",Intermediate Level
Owen,Male,Castries,1.6,Technical Lead,B.Tech. (Mechanical Engineering),"CAD/CAM, Finite Element Analysis (FEA), ANSYS, SolidWorks, CATIA, AutoCAD, Siemens NX, GD&T, Manufacturing Processes, Product Lifecycle Management (PLM), CNC Programming",Intermediate Level
Odara,Female,Brazzaville,2.8,Technical Lead,M.Sc. (Physics),"Data Analysis, Machine Learning, Python, R, TensorFlow, scikit-learn, Pandas, NumPy, MATLAB, Statistical Modeling, Deep Learning, Natural Language Processing (NLP)",Intermediate Level
Olama,Male,Belmopan,2.9,Technical Lead,B.E. (Civil Engineering),"Structural Engineering, AutoCAD, Revit, ETABS, STAAD.Pro, SAP2000, Building Information Modeling (BIM), Construction Management, Project Planning, Quantity Surveying",Intermediate Level
Oliviya,Female,New Delhi,3,Technical Lead,M.Tech. (Electrical Engineering)," Power Systems, Renewable Energy, MATLAB/Simulink, PSpice, ETAP, Power Electronics, Microgrid, Smart Grid, Electrical Distribution Systems, Energy Management Systems",Intermediate Level
Pamela,Male,Mogadishu,3.1,Technical Lead,B.Sc. (Chemistry),"Chemical Engineering, Process Optimization, Aspen HYSYS, ChemCAD, Process Safety Management, Hazard Analysis and Risk Assessment (HAZOP), Chemical Plant Design, Reactor Design",Intermediate Level
Patricia,Female,Islamabad,3.2,Technical Lead,B.Tech. (Aerospace Engineering),"Aerospace Structures, Aerodynamics, Computational Fluid Dynamics (CFD), ANSYS Fluent, OpenFOAM, Propulsion Systems, Aircraft Design, Spacecraft Systems, Satellite ",Intermediate Level
Paul,Male,Bandar Seri Begawan,3.3,Technical Lead,M.E. (Environmental Engineering),"Environmental Impact Assessment (EIA), Water Treatment, Air Pollution Control, Solid Waste Management, Environmental Monitoring, GIS, Remote Sensing, Environmental Regulations",Intermediate Level
Paula,Male,Yaounde,3.4,Technical Lead,B.E. (Biotechnology),"Molecular Biology, Genetic Engineering, PCR, DNA Sequencing, Cell Culture, Bioinformatics, CRISPR/Cas9, Bioprocess Engineering, Fermentation Technology, Downstream Processing",Intermediate Level
Pula,Female,Gaza,3.5,Technical Lead,M.Tech. (Chemical Engineering),"Process Engineering, Aspen Plus, MATLAB, Chemical Reaction Engineering, Heat Transfer, Mass Transfer, Distillation, Piping and Instrumentation Diagrams (P&ID), Process Control",Intermediate Level
Peter,Male,Roseau,3.6,Technical Lead, B.Sc. (Mathematics)," Data Science, Statistical Analysis, Python, R, SQL, Machine Learning, Deep Learning, Natural Language Processing (NLP), Time Series Analysis, Predictive Modeling",Intermediate Level
Philip,Female,Castries,2,Technical Lead, M.Tech. (Mechatronics),"Robotics, Control Systems, Embedded Systems, Arduino, Raspberry Pi, PLC Programming, Kinematics, Dynamics, Mechatronic System Design, Industrial Automation",Intermediate Level
Phillip,Male,London,2.6,Technical Lead,B.Tech. (Instrumentation Engineering)," SCADA, PLC Programming (Allen Bradley, Siemens), Industrial Instrumentation, Process Control Systems, DCS (Distributed Control Systems), HMI (Human-Machine Interface)",Intermediate Level
Phyllis,Female,Kabul,3,Technical Lead,M.E. (Civil Engineering),"Transportation Engineering, Traffic Simulation, AutoCAD Civil 3D, GIS, Highway Design, Pavement Analysis, Structural Analysis, Construction Management",Intermediate Level
Richard,Male,Ulaanbaatar,2,Technical Lead,B.E. (Electrical and Electronics Engineering)," Power Electronics, Electric Drives, Renewable Energy Systems, MATLAB/Simulink, PSpice, Microcontrollers, FPGA, Power Distribution Systems",Intermediate Level
Robert,Female,San Marino,2.1,Technical Lead,M.Sc. (Computer Applications)," Software Development, Java, Spring Boot, Microservices, Docker, Kubernetes, Angular, React, MongoDB, SQL, RESTful APIs",Intermediate Level
Robin,Male,Ulaanbaatar,2.2,Technical Lead,B.Tech. (Chemical Engineering)," Process Safety Management, Hazard Analysis, HAZOP, PHA, Aspen Plus, CHEMCAD, Process Simulation, Distillation, Heat Exchangers",Intermediate Level
Roger,Male,Bratislava,2.3,Technical Lead, M.Tech. (Nanotechnology),"Nanomaterials, Nanofabrication, Characterization Techniques, SEM, TEM, AFM, Nanoelectronics, Nanomedicine, Biosensors",Intermediate Level
Ronald,Female,Rabat,2.4,Technical Lead,B.E. (Production Engineering),"Lean Manufacturing, Six Sigma, Kaizen, 5S, Value Stream Mapping, CNC Machining, Supply Chain Management, Quality Management Systems",Intermediate Level
Rose,Male,Pretoria,2.5,Technical Lead, M.Sc. (Physics),"Quantum Mechanics, Solid State Physics, Nanotechnology, Semiconductor Devices, Quantum Computing, Photonics, Optoelectronics",Intermediate Level
Rosemary,Female,Gaborone,2.6,Technical Lead,B.Tech. (Electronics and Communication Engineering),"Digital Signal Processing, Embedded Systems, FPGA Design, Verilog, VHDL, Wireless Communication, IoT, Bluetooth, Zigbee",Intermediate Level
Roy,Male,Marigot,2.7,Technical Lead,M.E. (Industrial Engineering),"Operations Research, Supply Chain Optimization, Production Planning, Facility Layout Design, Six Sigma, Lean Manufacturing, Value Engineering",Intermediate Level
Russell,Female,Bandar Seri Begawan,2.8,Technical Lead,B.E. (Mechanical Engineering),"CAD/CAM, SolidWorks, CATIA, AutoCAD, Finite Element Analysis (FEA), ANSYS, Manufacturing Processes, Product Design",Intermediate Level
Ruth,Female,Riyadh,2.9,Technical Lead, M.Tech. (Metallurgical Engineering),"Materials Science, Extractive Metallurgy, Physical Metallurgy, Heat Treatment, Corrosion Engineering, Failure Analysis",Intermediate Level
Ryan,Male,Dhaka,3,Technical Lead, B.Sc. (Environmental Science),"Environmental Impact Assessment (EIA), Pollution Control, Waste Management, Environmental Monitoring, Environmental Regulations, GIS",Intermediate Level
Samuel,Female,Kathmandu,3.1,Technical Lead, M.Tech. (Robotics),"Robot Kinematics, Robot Dynamics, Control Systems, ROS (Robot Operating System), Computer Vision, Machine Learning, Path Planning",Intermediate Level
Sandra,Male,Kuala Lumpur,3.2,Technical Lead,B.Tech. (Automobile Engineering),"Automotive Design, Vehicle Dynamics, Engine Design, Vehicle Electronics, Automotive Safety, Hybrid and Electric Vehicles",Intermediate Level
Sarah,Male,Bishkek,3.3,Technical Lead,M.Sc. (Biotechnology),"Genetic Engineering, Molecular Biology, Bioinformatics, PCR, DNA Sequencing, Cell Culture, Bioprocess Engineering",Intermediate Level
Sara,Female,Sri Jayawardenepura Kotte,3.4,Technical Lead,B.E. (Instrumentation and Control Engineering),"SCADA, PLC Programming, DCS, Industrial Automation, Control Systems, Process Instrumentation",Intermediate Level
Scott,Female,Mexico City,3.5,Technical Lead, M.Tech. (Civil Engineering),"Structural Engineering, Geotechnical Engineering, Transportation Engineering, Construction Management, Project Planning",Intermediate Level
Sean,Male,Chisinau,3.6,Technical Lead,B.Tech. (Electrical Engineering),"Power Systems, Electric Drives, Renewable Energy, Power Electronics, MATLAB/Simulink, Smart Grid",Intermediate Level
Sebastian,Female,Guatemala City,2,Technical Lead,M.Sc. (Mathematics),"Data Analysis, Statistical Modeling, Machine Learning, Python, R, SQL, Predictive Analytics",Intermediate Level
Sharon,Male,Sri Jayawardenepura Kotte,3.3,Technical Lead, B.E. (Computer Engineering),"Software Development, Web Development, Java, Python, JavaScript, React, Angular, Spring Boot",Intermediate Level
Sheila,Female,Quito,2.7,Technical Lead,M.Tech. (Computer Science),"Artificial Intelligence, Machine Learning, Deep Learning, Natural Language Processing, Python, TensorFlow, PyTorch",Intermediate Level
Shirley,Male,Moscow,2,Technical Lead,B.Tech. (Electronics Engineering),"Analog Electronics, Digital Electronics, Microcontrollers, FPGA Design, Embedded Systems, PCB Design",Intermediate Level
Sidney,Female,Riga,2.6,Technical Lead,M.Sc. (Chemistry),"Organic Chemistry, Inorganic Chemistry, Analytical Chemistry, Spectroscopy, Chromatography, Chemical Synthesis",Intermediate Level
Sierra,Male,Berlin,3,Technical Lead,B.E. (Mechanical and Automation Engineering),"Robotics, Mechatronics, PLC Programming, CNC Machining, CAD/CAM, Industrial Automation",Intermediate Level
Silvia,Female,Djibouti (city),3.6,Technical Lead,M.Tech. (Electrical Power Systems),"Power System Analysis, Renewable Energy Integration, Smart Grids, MATLAB/Simulink, Protection Systems",Intermediate Level
